time_index,y_true_tb,y_pred_tb
75,375.46054915152,375.06317921451887
76,375.45705949392,375.0772253108215
77,375.47361299792,375.0912714071241
78,375.48117392272,375.10531750342676
79,375.48492083072,375.11936359972935
80,375.49826429712,375.13340969603195
81,375.53072258672,375.14745579233454
82,375.56116761232,375.1615018886372
83,375.60925106752,375.17554798493984
84,375.70544034752,375.18959408124243
85,375.74006848832,375.2036401775451
86,375.72672502192,375.2176862738477
87,375.74615301952,375.23173237015027
88,375.76800811872,375.24577846645286
89,375.97064314032,375.2598245627555
90,376.05178886432,375.2738706590581
91,376.08977244512,375.28791675536075
92,376.09397792992,375.30196285166335
93,376.13531695072,375.316008947966
94,376.15906228112,375.33005504426865
95,376.41511590752,375.3441011405712
96,376.43670257152,375.35814723687383
97,376.39271275312,375.3721933331764
98,376.28955534272,375.3862394294791
99,376.24342922752,375.40028552578167
100,376.21344277872,375.4143316220843
101,376.22547762352,375.4283777183869
102,376.23564460672,375.4424238146895
103,376.23803815392,375.4564699109921
104,376.27153662992,375.47051600729475
105,376.28381754032,375.4845621035974
106,376.32102936992,375.4986081999
107,376.36147360672,375.51265429620264
108,376.40710759072,375.52670039250523
109,376.42568554352,375.5407464888079
110,376.43220628192,375.5547925851104
111,376.43860398752,375.56883868141307
112,376.46083936992,375.58288477771566
113,376.65207708032,375.5969308740183
114,376.72436444272,375.61097697032096
115,376.71965564192,375.62502306662356
116,376.76014461792,375.6390691629262
117,376.78050095392,375.65311525922874
118,376.79242395072,375.6671613555314
119,377.04907037152,375.681207451834
120,377.06208947872,375.69525354813663
121,377.04377996112,375.7092996444392
122,376.97725277072,375.7233457407419
123,376.94400036032,375.7373918370445
124,376.95257910192,375.7514379333471
125,376.92317426272,375.7654840296497
126,376.89175615952,375.7795301259523
127,376.88332282032,375.79357622225496
128,376.89879139872,375.80762231855755
129,376.91395798752,375.8216684148602
130,376.94675182112,375.8357145111628
131,376.99184893472,375.84976060746544
132,377.03840007232,375.863806703768
133,377.06826348832,375.8778528000706
134,377.08658419072,375.8918988963733
135,377.10057637552,375.90594499267587
136,377.11895300192,375.9199910889785
137,377.27562968032,375.9340371852811
138,377.34640709472,375.94808328158376
139,377.36649499552,375.96212937788636
140,377.39933356832,375.97617547418895
141,377.43033783392,375.99022157049154
142,377.47042415712,376.0042676667942
143,377.69743085792,376.0183137630968
144,377.70352657392,376.03235985939943
145,377.66234414032,376.0464059557021
146,377.62457307072,376.0604520520047
147,377.58919554832,376.07449814830727
148,377.56372775872,376.08854424460986
149,377.53785731632,376.1025903409125
150,377.51825036192,376.1166364372151
151,377.53201885072,376.13068253351776
152,377.54727491792,376.14472862982035
153,377.56560680512,376.158774726123
154,377.58523612912,376.17282082242565
155,377.62554614832,376.1868669187282
156,377.66025258272,376.20091301503084
157,377.66901028112,376.2149591113334
158,377.69590972512,376.2290052076361
159,377.71170266272,376.24305130393867
160,377.73619737472,376.2570974002413
161,377.91345408512,376.2711434965439
162,377.99326881792,376.2851895928465
163,378.00938611472,376.2992356891491
164,378.02906017792,376.31328178545175
165,378.07159597232,376.3273278817544
166,378.11540683392,376.341373978057
167,378.12409742352,376.35542007435964
168,378.09781314352,376.36946617066224
169,378.08210968432,376.3835122669649
170,378.07218876672,376.3975583632674
171,378.06735693312,376.41160445957007
172,378.06367713392,376.42565055587266
173,378.03280708592,376.4396966521753
174,378.02247233072,376.45374274847796
175,378.02498891072,376.46778884478056
176,378.01894911872,376.4818349410832
177,378.03597238432,376.4958810373858
178,378.07183085312,376.5099271336884
179,378.08883174912,376.523973229991
180,378.10376345712,376.53801932629364
181,378.12408623872,376.55206542259623
182,378.13692638912,376.5661115188989
183,378.15218245632,376.5801576152015
184,378.16731549072,376.5942037115041
185,378.37000643632,376.6082498078067
186,378.44602952192,376.6222959041093
