time_index,historical_tb,forecast_mlp_tb,forecast_lstm_tb,forecast_gru_tb,forecast_pint_tb,forecast_tfkan_tb,forecast_exp_tb,forecast_arima_tb,forecast_prophet_tb,forecast_moe_tb
276,333.42122569488,,,,,,,,,
277,333.42308237168,,,,,,,,,
278,333.43666071888,,,,,,,,,
279,333.47623254128,,,,,,,,,
280,333.48685810128,,,,,,,,,
281,333.49374793808,,,,,,,,,
282,333.50121938448,,,,,,,,,
283,333.53064659328,,,,,,,,,
284,333.56435758048,,,,,,,,,
285,333.58971352208,,,,,,,,,
286,333.60963365088,,,,,,,,,
287,333.62409559728,,,,,,,,,
288,333.62512459888,,,,,,,,,
289,333.62651151408,,,,,,,,,
290,333.62613123088,,,,,,,,,
291,333.64713628528,,,,,,,,,
292,333.65612886448,,,,,,,,,
293,333.66682153328,,,,,,,,,
294,333.66744788208,,,,,,,,,
295,333.67250341168,,,,,,,,,
296,333.88241973808,,,,,,,,,
297,333.89056227248,,,,,,,,,
298,333.90335768368,,,,,,,,,
299,333.88881744368,,,,,,,,,
300,333.81051265888,,,,,,,,,
301,333.80956195088,,,,,,,,,
302,333.82012040208,,,,,,,,,
303,333.83394481488,,,,,,,,,
304,333.83227827968,,,,,,,,,
305,333.81790581168,,,,,,,,,
306,333.83083544048,,,,,,,,,
307,333.85685128528,,,,,,,,,
308,333.88445537168,,,,,,,,,
309,333.91890455568,,,,,,,,,
310,333.94357822448,,,,,,,,,
311,333.95547885168,,,,,,,,,
312,333.96451617008,,,,,,,,,
313,333.97681945008,,,,,,,,,
314,333.98545411568,,,,,,,,,
315,334.00290240368,,,,,,,,,
316,334.01073176368,,,,,,,,,
317,334.01871771088,,,,,,,,,
318,334.01784529648,,,,,,,,,
319,334.01967960368,,,,,,,,,
320,334.22462987888,,,,,,,,,
321,334.23017753968,,,,,,,,,
322,334.24242489568,,,,,,,,,
323,334.24588099888,,,,,,,,,
324,334.22959593008,,,,,,,,,
325,334.20932907248,,,,,,,,,
326,334.16409774128,,,,,,,,,
327,334.16897431408,,,,,,,,,
328,334.17787741488,,,,,,,,,
329,334.17341467968,,,,,,,,,
330,334.16974606528,,,,,,,,,
331,334.17562927008,,,,,,,,,
332,334.19402826608,,,,,,,,,
333,334.21804203168,,,,,,,,,
334,334.23172104208,,,,,,,,,
335,334.23440539408,,,,,,,,,
336,334.22823138448,,,,,,,,,
337,334.22474172688,,,,,,,,,
338,334.22058098128,,,,,,,,,
339,334.22858929808,,,,,,,,,
340,334.22563651088,,,,,,,,,
341,334.23055782288,,,,,,,,,
342,334.21489910288,,,,,,,,,
343,334.21042518288,,,,,,,,,
344,334.37448382928,,,,,,,,,
345,334.37126260688,,,,,,,,,
346,334.37479700368,,,,,,,,,
347,334.36182263568,,,,,,,,,
348,334.28461396128,,,,,,,,,
349,334.28214212048,,,,,,,,,
350,334.29097811248,,,,,,,,,
351,334.30961198928,,,,,,,,,
352,334.31612154288,,,,,,,,,
353,334.31477936688,,,,,,,,,
354,334.31672552208,,,,,,,,,
355,334.33569494288,,,,,,,,,
356,334.35086153168,,,,,,,,,
357,334.35770662928,,,,,,,,,
358,334.36992043088,,,,,,,,,
359,334.37560230928,,,,,,,,,
360,334.36285163728,,,,,,,,,
361,334.35985411088,,,,,,,,,
362,334.35430645008,,,,,,,,,
363,334.34674552528,,,,,,,,,
364,334.35041413968,,,,,,,,,
365,334.35193527248,,,,,,,,,
366,334.34947461648,,,,,,,,,
367,334.35153261968,,,,,,,,,
368,334.35139840208,,,,,,,,,
369,334.35260636048,,,,,,,,,
370,334.35354588368,,,,,,,,,
371,334.35842245648,,,,,,,,,
372,334.35824349968,,,,,,,,,
373,334.35631971408,,,,,,,,,
374,334.35300901328,,,,,,,,,
375,334.35699080208,,,,,,,,,
376,334.36137524368,,,,,,,,,
377,334.36701238288,,,,,,,,,
378,334.36946185408,,,,,,,,,
379,334.37354430608,,,,,,,,,
380,334.37828666128,,,,,,,,,
381,334.37875642288,,,,,,,,,
382,334.38906880848,,,,,,,,,
383,334.39837456208,,,,,,,,,
384,334.40772505488,,,,,,,,,
385,334.41524124048,,,,,,,,,
386,334.41993885648,,,,,,,,,
387,334.42635893168,,,,,,,,,
388,334.43959055008,,,,,,,,,
389,334.44731924688,,,,,,,,,
390,334.45257610288,,,,,,,,,
391,334.45882840608,,,,,,,,,
392,334.46231806368,,,,,,,,,
393,334.46618800448,,,,,,,,,
394,334.47769716368,,,,,,,,,
395,334.48672329728,,,,,,,,,
396,334.48998925888,,,,,,,,,
397,334.49304270928,,,,,,,,,
398,334.50011150288,,,,,,,,,
399,334.50277348528,,,,,,,,,
400,334.51267203328,,,,,,,,,
401,334.52144091648,,,,,,,,,
402,334.52622801088,,,,,,,,,
403,334.53650684208,,,,,,,,,
404,334.54665145568,,,,,,,,,
405,334.55658355808,,,,,,,,,
406,334.57040797088,,,,,,,,,
407,334.57803600448,,,,,,,,,
408,334.56413329808,,,,,,,,,
409,334.56406618928,,,,,,,,,
410,334.57258900688,,,,,,,,,
411,334.57105668928,,,,,,,,,
412,334.54468293088,,,,,,,,,
413,334.54194265488,,,,,,,,,
414,334.54185317648,,,,,,,,,
415,334.54556653008,,,,,,,,,
416,334.74631132048,,,,,,,,,
417,334.74985690208,,,,,,,,,
418,334.75318997248,,,,,,,,,
419,334.70271297008,,,,,,,,,
420,334.69100248448,,,,,,,,,
421,334.70659409568,,,,,,,,,
422,334.72683858368,,,,,,,,,
423,334.74670278848,,,,,,,,,
424,334.76844603968,,,,,,,,,
425,334.79835419488,,,,,,,,,
426,334.81056799648,,,,,,,,,
427,334.83663976528,,,,,,,,,
428,334.86246546848,,,,,,,,,
429,334.88539430848,,,,,,,,,
430,334.91516824608,,,,,,,,,
431,334.92371343328,,,,,,,,,
432,334.92824327728,,,,,,,,,
433,334.93607263728,,,,,,,,,
434,334.92608461088,,,,,,,,,
435,334.93127435808,,,,,,,,,
436,334.94254863648,,,,,,,,,
437,334.95031088768,,,,,,,,,
438,334.94599355488,,,,,,,,,
439,334.94536720608,,,,,,,,,
440,335.13868528928,,,,,,,,,
441,335.12736627168,,,,,,,,,
442,335.14123542368,,,,,,,,,
443,335.14765549888,,,,,,,,,
444,335.15365055168,,,,,,,,,
445,335.17344764768,,,,,,,,,
446,335.18261918368,,,,,,,,,
