Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
376.71967,376.9097,375.8408,376.3593,374.92764,376.2235,375.59186,377.30417,377.14151115075987,376.63712
376.76016,376.94434,375.84436,376.3738,374.93393,376.24585,375.60562,377.33224,377.1494074625315,376.66144
376.78052,376.9632,375.859,376.39383,374.93378,376.26996,375.6194,377.36035,377.1749476990787,376.67896
376.79245,377.0176,375.9157,376.4138,374.95673,376.29498,375.63315,377.38846,377.2255743816651,376.72403
377.04907,377.1443,376.0604,376.43323,375.1337,376.3204,375.6469,377.41656,377.2848920110239,376.8273
377.0621,377.19565,376.05963,376.49936,375.1494,376.3479,375.66064,377.44467,377.32533117926465,376.86874
377.0438,377.23163,376.05093,376.52948,375.14404,376.37823,375.6744,377.47278,377.3319455816094,376.8933
376.97726,377.2086,376.03912,376.5339,375.0938,376.41034,375.6882,377.5009,377.31530724651935,376.87656
376.944,377.18524,376.02722,376.52002,375.0287,376.44257,375.70197,377.52896,377.30166020919495,376.85748
376.9526,377.18237,376.01627,376.5179,375.03995,376.47336,375.71573,377.5571,377.3099525304452,376.85724
376.9232,377.22556,376.01193,376.53702,375.04178,376.50235,375.7295,377.5852,377.33734055962907,376.88733
376.89178,377.24838,376.0074,376.5509,375.03137,376.52863,375.74323,377.61328,377.365745916005,376.90448
376.88336,377.22284,376.00214,376.56085,374.99377,376.5518,375.757,377.64142,377.3814927667127,376.8908
376.8988,377.23947,375.99976,376.57443,375.0042,376.57217,375.77075,377.6695,377.38810963517517,376.90384
376.91397,377.25555,375.99774,376.59378,375.00974,376.59,375.78452,377.6976,377.4004013742195,376.91727
376.94678,377.28754,376.00128,376.61346,375.01953,376.606,375.79828,377.72574,377.42722633628017,376.94177
376.99185,377.32224,376.00555,376.6358,375.02756,376.62076,375.812,377.7538,377.461456862415,376.96872
377.0384,377.35287,376.00974,376.66086,375.0529,376.635,375.82578,377.78192,377.48745921204426,376.99368
377.06827,377.38092,376.0142,376.68637,375.0566,376.6494,375.83957,377.81003,377.49810288568506,377.01474
377.08658,377.406,376.02075,376.70813,375.0492,376.6643,375.85333,377.83813,377.50304134244476,377.03296
377.1006,377.39825,376.03006,376.72675,375.04846,376.6798,375.8671,377.86627,377.5192740450098,377.03357
377.11896,377.41998,376.04868,376.7446,375.04163,376.6957,375.88083,377.89435,377.5533453349639,377.05292
377.27563,377.47885,376.1417,376.76434,375.1139,376.7118,375.8946,377.92245,377.5937344629541,377.1049
377.34644,377.54062,376.15756,376.81335,375.16058,376.72885,375.90836,377.95056,377.62203496003656,377.15195
377.3665,377.5811,376.16464,376.8519,375.1654,376.7483,375.92212,377.97867,377.63226608794287,377.18143
377.39935,377.6225,376.1757,376.87317,375.18378,376.77008,375.93588,378.00677,377.6386268260955,377.2105
377.43036,377.63702,376.19025,376.8939,375.17868,376.79333,375.94962,378.03488,377.6628042377402,377.22485
377.47046,377.68365,376.2417,376.9167,375.19293,376.81787,375.96338,378.063,377.7122201998223,377.26385
377.69745,377.81982,376.39294,376.94305,375.37985,376.8436,375.97714,378.09106,377.77047122249235,377.37234
377.70355,377.8743,376.40454,377.00595,375.39917,376.8713,375.9909,378.1192,377.8099936064772,377.41504
377.66235,377.91464,376.40637,377.03317,375.3958,376.90182,376.0047,378.1473,377.81586639875974,377.4414
377.6246,377.89783,376.4028,377.03006,375.34933,376.93344,376.01846,378.17538,377.79868313013793,377.42853
377.5892,377.88327,376.39792,377.0234,375.2942,376.96503,376.0322,378.20352,377.7846858399395,377.41635
377.56372,377.89603,376.38953,377.0245,375.31934,376.9951,376.04596,378.2316,377.792813850418,377.42624
377.53787,377.92203,376.3763,377.03598,375.30386,377.0226,376.05972,378.2597,377.8202112913811,377.44318
377.51828,377.91803,376.36465,377.04877,375.28128,377.04752,376.0735,378.28784,377.8487954473088,377.4437
377.532,377.90057,376.35672,377.06207,375.25714,377.06973,376.08725,378.31592,377.86489865275587,377.436
377.5473,377.92178,376.3532,377.08167,375.2656,377.08954,376.10098,378.34402,377.8720501834262,377.45142
377.5656,377.94577,376.35318,377.102,375.26578,377.1072,376.11475,378.37216,377.88505994196777,377.46875
377.58524,377.9789,376.35858,377.12158,375.2761,377.12335,376.1285,378.40024,377.9127700202295,377.4934
377.62558,378.01044,376.3659,377.1405,375.2869,377.13828,376.14227,378.42838,377.94802531301985,377.51797
377.66028,378.043,376.37244,377.1636,375.3097,377.15256,376.15604,378.45645,377.975207416625,377.5434
377.66904,378.065,376.37842,377.18665,375.3134,377.16666,376.1698,378.48456,377.98717772655226,377.5605
377.69592,378.08826,376.38452,377.20383,375.30533,377.18066,376.18356,378.5127,377.9935896515901,377.57645
377.7117,378.084,376.39294,377.224,375.30786,377.19495,376.19733,378.54077,378.0114326829492,377.5798
377.7362,378.09717,376.4151,377.24356,375.30127,377.2094,376.2111,378.56888,378.04723188057505,377.5948
377.91348,378.15735,376.49622,377.26508,375.35748,377.22412,376.22485,378.597,378.0894585035619,377.64484
