time_index,historical_tib
202,341.6153624839785
203,338.0567678451543
204,333.853245176792
205,330.79457256174123
206,330.10648512935643
207,331.65037562131835
208,333.5219273366924
209,334.0067377834317
210,331.17085629987696
211,329.8760574116709
212,329.1151769390107
213,329.4193191509248
214,329.8358015627862
215,328.92604773855174
216,324.33978322982813
217,321.7015233325957
218,321.2913428969385
219,320.5892099347119
220,322.4151099276543
221,324.8816368942265
222,330.67079260826074
223,334.09993222141304
224,332.1222442040439
225,330.7138758592607
226,331.32523524856543
227,331.1008554348945
228,333.77799122762696
229,333.9420412511826
230,332.82598946905176
231,330.1531357450488
232,324.9219555177686
233,328.96259902715724
234,332.22682687187205
235,335.83846083021194
236,337.711720583916
237,339.0751204576494
238,336.8199907827373
239,333.9409394369121
240,333.01301153850585
241,333.9453024544717
242,336.1894445600508
243,338.14611300182327
244,339.58825990343064
245,337.73080119133004
246,335.8218168039326
247,335.3876040744785
248,336.06114618968945
249,338.69712394857424
250,340.97234231853514
251,341.7566097502705
252,339.09595542240135
253,336.87799811744725
254,337.4267888355254
255,336.4613521170615
256,339.11438972902346
257,341.50438485908495
258,342.54662398242965
259,339.7553365540508
260,337.7870835728642
261,337.6629924788477
262,337.82227342510254
263,340.1005167627334
264,344.6068489451406
265,345.6341636438369
266,343.8777753610615
267,342.31699498271973
268,341.49476723861716
269,340.54123109197656
270,342.18671143531833
271,345.64138544464157
272,349.39065493631347
273,347.7109327344893
274,346.083390804291
275,344.5602325344082
276,344.66162209796875
277,346.7930487213135
278,347.7064887986181
279,349.360477667332
280,347.027846176624
281,346.03086936378514
282,346.122074901581
283,346.33083198022854
284,347.1542047615049
285,347.41939103078806
286,349.22820654583006
287,347.5090414614678
288,347.0701399931904
289,348.961669764042
290,349.4094897007939
291,351.3771941294668
292,352.825556939125
293,352.29297077465037
294,350.5511826248174
295,350.38537882709477
296,350.75648121499995
297,353.23874784851074
298,358.84058728694924
299,360.8637558460234
300,365.0663506298066
301,365.67949247550973
302,363.6011665883067
303,363.83061549139063
304,365.6314068932529
305,366.5254807577129
306,369.1034587402344
307,371.7432800269131
308,371.89755496311227
309,370.912038980961
310,371.1967787613867
311,371.6225769619941
312,373.739901580334
313,374.395321630001
314,375.9426387643818
315,374.8949397416113
316,373.2555061435703
317,373.9666832966807
318,375.2691888637539
319,381.2130826377871
