Real_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,TFKAN_TiB,PINN_TiB,EXP_TiB,ARIMA_TiB,PROPHET_TiB,MOE_TiB
366.2207,364.87527,359.9741,372.01508,371.0188,360.85208,355.76736,351.5714,375.35787923933435,365.237
368.694,363.87222,360.16025,371.14386,369.41974,360.84863,355.93338,353.84167,375.4474649692612,365.6107
366.919,362.4183,359.80472,370.26883,368.17966,360.37076,356.09937,356.44904,375.53705069918806,366.2646
368.62177,362.43314,359.38727,369.07462,367.62393,359.6727,356.26538,357.55695,375.6266364291149,366.55353
368.89346,363.7052,358.92072,369.35257,368.75363,358.79547,356.43137,356.4564,375.71622215904176,366.62238
367.6019,365.67212,358.57764,369.2174,370.52023,357.91028,356.59738,354.09705,375.8058078889686,365.8649
367.00635,367.0751,358.55267,369.41495,371.1937,357.31134,356.76337,352.37256,375.8953936188955,365.62268
365.5504,368.49042,358.9414,370.4787,370.5356,357.18613,356.92938,352.6981,375.9849793488224,365.92786
362.93674,368.32706,359.84848,371.54666,369.2475,357.6173,357.09537,354.94833,376.07456507874923,367.10962
361.97522,367.7718,361.25134,372.0717,368.71075,358.67462,357.26138,357.55316,376.1641508086761,369.76218
362.50177,368.50977,362.934,373.1991,370.16095,359.89465,357.42737,358.67795,376.25373653860294,372.107
363.29224,370.0318,364.74875,375.72858,372.50085,361.08737,357.59338,357.60098,376.3433222685298,373.45862
369.01373,372.29636,366.57745,378.42618,375.52994,362.19086,357.75937,355.2542,376.43290799845664,375.2269
375.06094,373.47906,367.90887,381.53732,377.77875,363.13345,357.92538,353.52188,376.5224937283835,376.50195
382.78864,373.76385,368.0986,382.83026,378.77997,363.542,358.09137,353.82504,376.61207945831035,376.95862
381.57538,373.511,366.36612,382.45358,379.39615,362.4852,358.2574,356.05518,376.7016651882372,377.07272
382.28986,373.11224,363.26166,380.02808,377.53125,359.90527,358.42337,358.65732,376.79125091816405,376.71066
376.7342,372.36014,359.46738,374.90967,374.62997,356.1562,358.5894,359.79877,376.8808366480909,375.9151
372.96555,371.83887,356.1299,366.29907,370.75964,352.35147,358.75537,358.74533,376.97042237801776,372.92154
374.2621,371.49954,354.01477,366.48773,368.93347,349.74515,358.9214,356.41125,377.0600081079446,370.8374
380.75894,372.66824,352.87854,369.17413,370.2849,348.56613,359.08737,354.67126,377.14959383787146,372.22327
383.48813,374.0125,351.67987,373.4286,372.87674,348.04694,359.25336,354.9522,377.2391795677983,374.65808
381.89093,374.09656,349.96887,376.4375,374.3225,347.63983,359.41937,357.16226,377.32876529772517,376.22958
375.66895,372.4902,348.14975,376.50107,373.08606,347.3934,359.58536,359.7615,377.418351027652,376.53082
373.4183,370.17984,347.03754,372.9873,369.68445,347.92676,359.75137,360.9194,377.5079367575789,375.8209
368.41418,369.35913,346.90594,372.75302,365.7967,349.05582,359.91736,359.8894,377.5975224875057,374.0654
369.74243,369.495,347.6873,372.31866,365.7812,350.38702,360.08337,357.56815,377.6871082174326,373.17477
371.36353,370.1602,349.00934,373.83853,369.07196,351.65063,360.24936,355.82077,377.77669394735943,374.4998
375.36133,372.11453,350.38943,376.18866,372.16516,352.8025,360.41537,356.07965,377.8662796772863,376.25726
374.9327,371.59323,351.30734,378.6689,373.3273,353.76724,360.58136,358.26953,377.9558654072132,377.30273
375.25906,369.62454,351.74576,376.87354,371.9671,354.60153,360.74738,360.8657,378.04545113714005,377.51553
380.73227,368.34113,351.75693,374.57208,370.00052,355.39053,360.91336,362.03986,378.1350368670669,377.49744
384.30035,368.6492,350.86124,375.41415,369.92505,355.83963,361.07938,361.03323,378.22462259699375,377.53683
389.38522,370.2947,348.73737,375.27686,373.0868,355.26038,361.24536,358.72495,378.3142083269206,377.6669
398.2732,372.8562,345.0714,373.40283,375.7702,353.4355,361.41138,356.97037,378.4037940568475,377.95737
391.89786,373.90244,339.26764,370.9184,376.84158,349.5928,361.57736,357.2073,378.49337978677437,378.22986
387.561,373.33936,332.49872,363.96292,371.6151,344.56476,361.74338,359.37704,378.5829655167012,377.73306
376.4695,369.29755,326.61288,354.97333,366.0996,339.7011,361.90936,361.9699,378.6725512466281,375.1607
373.9684,365.8989,322.8037,352.61795,359.64032,337.0545,362.07538,363.16013,378.7621369765549,368.7958
371.5952,365.27084,321.1175,353.33948,358.49246,337.29483,362.24136,362.17682,378.8517227064818,368.25696
374.3255,367.14566,320.96103,354.40594,361.19418,338.99417,362.40738,359.8816,378.94130843640863,371.83237
383.09683,370.79852,321.7084,356.71893,365.93225,340.57736,362.57336,358.12003,379.0308941663355,375.9029
385.3624,370.89697,321.97577,358.10065,366.6723,341.82242,362.73938,358.3352,379.12047989626234,376.62277
383.53888,370.03897,321.04797,359.19846,366.44754,342.79822,362.90536,360.48474,379.2100656261892,377.47357
382.05066,365.94708,319.2387,361.23373,362.10608,343.65735,363.07138,363.07413,379.29965135611604,376.66406
375.96387,364.16656,317.19287,360.36548,360.03473,344.44745,363.23737,364.2802,379.3892370860429,375.69238
376.18985,362.59296,315.8496,358.13898,357.62747,345.30103,363.40338,363.32016,379.47882281596975,372.31787
376.42242,362.90936,315.30334,359.37885,360.86282,346.21252,363.56937,361.03812,379.5684085458966,375.6841
380.84152,366.1997,315.35272,361.83237,365.139,347.11362,363.73538,359.26978,379.65799427582346,378.2381
