time_index,ds,y_true_tib,y_pred_tib
112,2025-09-15,383.01831431198144,383.24142347289774
113,2025-09-16,375.7452126412393,383.3310092028246
114,2025-09-17,374.56972266960156,383.42059493275144
115,2025-09-18,374.02495623874705,383.5101806626783
116,2025-09-19,379.8570729026797,383.59976639260515
117,2025-09-20,376.0355483345987,383.689352122532
118,2025-09-21,372.7445910053252,383.77893785245885
119,2025-09-22,369.5054176311494,383.8685235823857
120,2025-09-23,366.99059691905956,383.95810931231256
121,2025-09-24,372.09558615636814,384.0476950422394
122,2025-09-25,374.161862671375,384.13728077216626
123,2025-09-26,380.96485858392674,384.2268665020931
124,2025-09-27,384.04737813377346,384.31645223201997
125,2025-09-28,384.4943939847949,384.4060379619468
126,2025-09-29,375.4424880628584,384.4956236918737
127,2025-09-30,370.30161199235937,384.5852094218005
