Actual_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,PINN_TiB,TFKAN_TiB,ETS_TiB,PROPHET_TiB,MOE_TiB
345.8462610752325,359.5445379714964,356.64109701919534,367.1085328559873,358.4901794891355,364.6377267341612,355.3647782288611,361.5207154711792,360.6475830078125
343.3763337768612,361.6195420722959,358.0884894828794,369.3076467018125,359.51860232162454,367.6239461402891,355.53511515801364,362.5162528806008,363.34228515625
342.30717161437514,363.4831866722105,359.276841114044,371.58657736587503,360.40794367599466,370.0329598884581,355.7054520871661,363.024488314876,364.533203125
343.21388345584296,364.8752707939146,359.9740781288145,372.0150231819151,360.85209078598,371.0187921028135,355.87578901631866,362.8388710225161,365.2369995117188
345.6505659641695,363.87222380447366,360.1602286796568,371.143799732208,360.8486566047666,369.41972632217386,356.04612594547115,362.2002592853222,365.6106872558594
348.0258094468155,362.4182948570249,359.80472369003274,370.2687615852354,360.37077612686136,368.1796578865049,356.2164628746237,361.6020431973597,366.26458740234375
349.1079183281403,362.4331378440855,359.3872746925352,369.0745725135801,359.67271323013284,367.6239346961973,356.38679980377617,361.4118900907577,366.5535278320313
346.5759860854597,363.7051820259092,358.9206952552793,369.3525228004453,358.79549069213846,368.7536191444395,356.5571367329287,361.6306794284767,366.6223754882813
344.74516360135743,365.6721162300108,358.5776366691587,369.2173528175352,357.9102935295103,370.52023024368265,356.7274736620812,361.9684275989736,365.8648986816406
344.3351065912285,367.0750989418028,358.5526570777891,369.4149083595274,357.3113436203001,371.1936997871397,356.89781059123374,362.12978737241775,365.6226806640625
345.7445535664444,368.49040503311136,358.94140476989725,370.4786729316709,357.1861342887876,370.535609195709,357.0681475203862,362.0360976101983,365.9278564453125
348.266935547348,368.3270482521055,359.848467777252,371.54662604141214,357.6173133354185,369.2474889259336,357.2384844495387,361.807116398312,367.109619140625
351.6837216424751,367.7717790107725,361.2513341407774,372.0716390113829,358.6746506195066,368.7107629280088,357.40882137869124,361.5715595027064,369.7621765136719
355.20372327789687,368.5097588996885,362.9339875679014,373.1990499000547,359.894664714813,370.1609639625547,357.5791583078437,361.326654748748,372.1069946289063
353.4731908394022,370.03180975723245,364.7487325172422,375.7285279731748,361.0873841743467,372.5008420448301,357.74949523699627,360.9862256149949,373.4586181640625
351.3030757098456,372.2963551979063,366.5774545173643,378.4261388282774,362.1908807258604,375.52993292617776,357.91983216614875,360.5419775234964,375.2268981933594
351.2520377323961,373.4790544013975,367.9088696937559,381.5372838478086,363.1334619026182,377.7787446479795,358.0901690953013,360.1395322248952,376.501953125
349.13887190586,373.76384825515726,368.098597476959,382.8302049140928,363.542014072418,378.77995772171,358.2605060244538,359.9643402296752,376.9586181640625
350.453259123024,373.5109681587217,366.3661097984312,382.4535188179014,362.4852103691099,379.39614767837503,358.4308429536063,360.0433863463533,377.0727233886719
352.3769249054604,373.11222548294046,363.2616548042295,380.02802557754495,359.90529818344095,377.5312604408262,358.6011798827588,360.1753715634748,376.7106628417969
353.1704279677944,372.3601407508848,359.46736235427835,374.9096021156309,356.1562203865049,374.6299676399229,358.77151681191134,360.0871405287372,375.91510009765625
351.0583903486843,371.8388776283262,356.1299056510923,366.2990054588316,352.3514980773924,370.7596253852842,358.9418537410638,359.6857847140328,372.9215393066406
349.9827790982094,371.49952978897073,354.01476545143106,366.4876784782408,349.74516267585733,368.9334516029356,359.1121906702164,359.1640696255754,370.83740234375
349.93964014248945,372.6682290534971,352.87853867816904,369.17409796524026,348.56616992759683,370.2848996620176,359.28252759936885,358.84359566636385,372.2232666015625
351.0899580046539,374.0124921302793,351.6798499326704,373.4285497169493,348.04695577430704,372.87672323989847,359.4528645285214,358.89172186978067,374.6580810546875
353.6012592785988,374.0965623359678,349.96886582183816,376.4374894599912,347.6398596267698,374.322495410919,359.6232014576739,359.1798962396669,376.2295837402344
355.6994916913099,372.4901914100645,348.1497396926878,376.5010690193174,347.39344687271097,373.08606238174417,359.7935383868264,359.4255601624214,376.5308227539063
356.568248565774,370.1798257331846,347.03754133987405,372.9872846107481,347.9268035392759,369.6844472389219,359.9638753159789,359.48827438825936,375.8208923339844
358.98355880146886,369.359137485504,346.9059528808592,372.7529992561338,349.0558402042387,365.7966861228941,360.1342122451314,359.53269476434457,374.0653991699219
357.2501630173063,369.495003650665,347.6872865657804,372.3186368446348,350.3870620231626,365.7811736564634,360.3045491742839,359.8859249016768,373.1747741699219
358.913026846014,370.1601724128721,349.0093276004789,373.8384999732969,351.6506577234266,369.0719518165586,360.4748861034364,360.7051758607257,374.4997863769531
359.17834599595545,372.11453909683206,350.3894327383039,376.1886205177305,352.8025305967329,372.1651296119688,360.64522303258894,361.76313149194925,376.25726318359375
357.9170519988985,371.5932244758604,351.30733377742746,378.66886610794046,353.76726264762857,373.3272809486387,360.8155599617414,362.5664724764896,377.302734375
357.3354685259981,369.6245393257139,351.7457605700491,376.87348456192,354.60157460975626,371.9670896034239,360.985896890894,362.7251281689725,377.5155334472656
355.9136491683311,368.3411206703184,351.75691218185403,374.572043369293,355.3905691604612,370.0005330543516,361.15623382004645,362.2588954568511,377.4974365234375
353.3612434370441,368.6492108802793,350.86122013139703,375.41412825393655,355.8396534423826,369.9250440101621,361.326570749199,361.5778938834412,377.5368347167969
352.42225407669355,370.29470915603616,348.73736710357645,375.2768010597227,355.2604169349668,373.0868100624082,361.4969076783515,361.15855075756593,377.6669006347656
352.9364819121552,372.8561887245176,345.07139725494363,373.4027738075254,353.43552691745737,375.7702168922422,361.667244607504,361.1963658517466,377.9573669433594
