weight_MLP,weight_LSTM,weight_GRU,weight_PINN,weight_TFKAN,weight_EXP,weight_ARIMA,weight_PROPHET
0.00024522733,0.001957934,0.0006008523,4.5347355e-07,0.012486508,7.256902e-05,8.742966e-05,0.98454905
6.590713e-05,0.00088965043,0.0001388409,4.999985e-08,0.00734766,1.2990613e-05,2.2179316e-05,0.9915228
6.2369e-05,0.0008180444,0.00010653123,4.5382222e-08,0.0077933013,1.058681e-05,2.1619226e-05,0.9911875
0.00020308667,0.0016546461,0.00036433197,3.5135517e-07,0.012570609,3.9875355e-05,8.174077e-05,0.98508537
0.00059003243,0.003242215,0.0010606878,1.9798056e-06,0.018318512,0.00011976255,0.00026387276,0.976403
0.00059849035,0.0032412545,0.001011108,1.784384e-06,0.017031,0.00010716984,0.00025754032,0.9777517
0.00023076183,0.0017354259,0.00048567384,3.3083404e-07,0.010799805,4.0303476e-05,8.411597e-05,0.9866235
4.6098994e-05,0.00060373644,9.734078e-05,1.9690924e-08,0.005650198,6.99246e-06,1.3415403e-05,0.9935822
1.3888673e-05,0.00026834037,2.327222e-05,2.5125546e-09,0.0037229392,1.655027e-06,3.5614507e-06,0.9959663
1.764201e-05,0.00030331538,2.6105747e-05,3.785518e-09,0.004077582,2.0631473e-06,4.608039e-06,0.9955687
5.4597196e-05,0.00062355585,8.143155e-05,2.6062642e-08,0.006228851,7.401834e-06,1.5797898e-05,0.9929884
7.567195e-05,0.00077794923,8.234136e-05,4.0602913e-08,0.007724102,9.242852e-06,2.23898e-05,0.9913084
8.59642e-05,0.00084072485,0.00010706531,4.6622375e-08,0.0075128544,1.0382922e-05,2.518558e-05,0.99141794
3.6353256e-05,0.0004632046,5.641843e-05,1.0076518e-08,0.0048923716,4.0614914e-06,9.385772e-06,0.99453825
7.891077e-06,0.00016178729,1.2239659e-05,6.971824e-10,0.0026337455,7.3704e-07,1.6446064e-06,0.99718195
2.427993e-06,6.963963e-05,2.8707957e-06,8.8663375e-11,0.00172214,1.7406553e-07,4.4032677e-07,0.9982022
2.480397e-06,6.695446e-05,2.3907855e-06,8.770808e-11,0.0017740983,1.6141487e-07,4.4470426e-07,0.9981535
2.7030287e-06,6.990976e-05,1.5892452e-06,8.765194e-11,0.0021821377,1.512816e-07,4.7356116e-07,0.997743
3.417112e-06,8.50344e-05,1.6631915e-06,1.1796761e-10,0.0028231468,2.1285926e-07,5.7001046e-07,0.997086
