weight_MLP,weight_LSTM,weight_GRU,weight_PINT,weight_TFKAN,weight_EXP,weight_ARIMA,weight_PROPHET
0.3940196,0.008251589,0.05541815,0.053086556,0.030450953,0.01953416,0.39962068,0.039618302
0.39401114,0.008201377,0.055674132,0.05311247,0.030444214,0.0194115,0.39950502,0.0396402
0.3939628,0.008152576,0.055913914,0.053151783,0.030441677,0.019287096,0.39943236,0.03965783
0.3939666,0.0081026275,0.056162305,0.053160746,0.03042928,0.019176146,0.39933378,0.03966854
0.39407486,0.008049736,0.056441408,0.053116318,0.030399697,0.019084873,0.39915875,0.03967439
0.39426464,0.007996068,0.056735165,0.05303635,0.030358791,0.019007672,0.39892468,0.039676644
0.39445323,0.007943021,0.057040945,0.05296535,0.030321494,0.018926216,0.3986625,0.039687146
0.39455953,0.007892482,0.05732993,0.052934356,0.030297654,0.018832076,0.3984516,0.03970231
0.39460433,0.007844218,0.057595003,0.052930683,0.030282265,0.018729642,0.39829773,0.03971617
0.3946373,0.0077960514,0.057861976,0.05292938,0.030267803,0.018627385,0.3981505,0.039729726
0.39470914,0.0077475808,0.058135673,0.05290881,0.030247264,0.018533772,0.39797804,0.03973966
0.39483157,0.0076983175,0.05842656,0.052868757,0.030220123,0.018444924,0.3977586,0.03975119
0.3949363,0.007648683,0.058724135,0.05283368,0.03019422,0.018352425,0.39754596,0.039764598
0.39499405,0.007599654,0.05901282,0.05281546,0.030173048,0.01825292,0.39737427,0.039777778
0.39502195,0.0075512286,0.05929121,0.05280515,0.030153953,0.018151563,0.39723745,0.039787516
0.39506534,0.0075025707,0.05957123,0.052782137,0.030130772,0.018056873,0.39709926,0.039791837
0.39515433,0.0074530337,0.059866186,0.05273584,0.03010028,0.017971333,0.39692578,0.039793234
0.3952728,0.00740317,0.060172144,0.05267755,0.030065726,0.017888946,0.3967247,0.039795015
0.3953609,0.0073536253,0.06047988,0.052633073,0.030035274,0.017799648,0.39653674,0.039800826
0.39538705,0.0073050964,0.06077716,0.0526142,0.030012766,0.017700898,0.3963936,0.039809275
0.39539504,0.007257756,0.061063007,0.05260364,0.029992798,0.017600667,0.39627063,0.039816357
0.39542627,0.0072103646,0.061355792,0.052580204,0.029969411,0.017508142,0.39612952,0.039820354
0.39551574,0.0071627065,0.06166431,0.05253328,0.029939177,0.017425628,0.39593607,0.039823107
0.39563048,0.007115413,0.06198113,0.052480567,0.029907243,0.017344749,0.39571187,0.039828513
0.39569315,0.0070692324,0.062290013,0.052453242,0.029883208,0.017253686,0.3955183,0.039839193
0.39568394,0.007024573,0.06258017,0.052458774,0.029868972,0.017149735,0.3953798,0.039853998
0.39564285,0.006980717,0.06285762,0.052474815,0.02985774,0.017043421,0.39527655,0.03986628
0.3956515,0.0069360505,0.06314876,0.05246375,0.029838195,0.016948868,0.39514017,0.039872658
